date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,
2020/7/2,80,81.18,78.82,78,85175.8,-1.54,-1.92,75.964,72.217,68.394,80152.36,75581.46,75723.18,1.22,27
2020/7/3,77.88,78.68,78.54,74.7,85568.56,-0.28,-0.35,77.232,73.621,69.156,79451.66,80355.55,76722.57,1.23,26
2020/7/6,77.97,78.07,77.26,76.07,108257.78,-1.28,-1.63,78.296,74.749,69.654,89479.44,85231,75882.31,1.56,25
2020/7/7,77.27,80.22,79.63,75.51,102605.8,2.37,3.07,78.922,75.682,70.358,93023.74,87441.92,74208.59,1.47,24
2020/7/8,78.8,79.05,78.39,77,79401.75,-1.24,-1.56,78.528,76.634,71.053,92201.94,87019.73,74277.6,1.14,23
2020/7/9,78,78.32,78,77.01,90244.66,-0.39,-0.5,78.364,77.164,71.731,93215.71,86684.03,76616.95,1.3,22
2020/7/10,78,80.53,78.25,77.17,78559.25,0.25,0.32,78.306,77.769,72.394,91813.85,85632.75,78262.22,1.13,21
2020/7/13,78,81.85,80.85,76.98,97709.16,2.6,3.32,79.024,78.66,73.299,89704.12,89591.78,79270.17,1.4,20
2020/7/14,80.85,84.84,82.94,80,86531.35,2.09,2.58,79.686,79.304,74.228,86489.23,89756.49,80173.58,1.24,19
2020/7/15,82.94,89.37,86.6,82.94,101987.63,3.66,4.41,81.328,79.928,75.371,91006.41,91604.17,82032.88,1.47,18
2020/7/16,86.59,86.6,78.31,78.11,114187.36,-8.29,-9.57,81.39,79.877,76.047,95794.95,94505.33,85043.4,1.64,17
2020/7/17,77,83.19,81.51,76.5,71561.58,3.2,4.09,82.042,80.174,76.898,94395.42,93104.63,86730.09,1.03,16
2020/7/20,81.51,82.99,80.09,78.01,85033.23,-1.42,-1.74,81.89,80.457,77.603,91860.23,90782.18,88006.59,1.22,15
2020/7/21,79.99,83.41,81.77,78.55,54424.78,1.68,2.1,81.656,80.671,78.177,85438.92,85964.08,86703,0.78,14
2020/7/22,80.69,86.66,83.59,80.46,74815.28,1.82,2.23,81.054,81.191,78.913,80004.45,85505.43,86262.58,1.08,13
2020/7/23,83,85.5,85.04,81.42,63953.49,1.45,1.74,82.4,81.895,79.53,69957.67,82876.31,84780.17,0.92,12
2020/7/24,84.75,85.47,80.33,79,73235.7,-4.71,-5.54,82.164,82.103,79.936,70292.5,82343.96,83988.36,1.05,11
2020/7/27,80.23,82.37,80.48,78.78,45690.34,0.15,0.19,82.242,82.066,80.363,62423.92,77142.07,83366.93,0.66,10
2020/7/28,81,84.6,83.35,80.25,68484.14,2.87,3.57,82.558,82.107,80.706,65235.79,75337.35,82546.92,0.98,9
2020/7/29,83.22,84.09,84.05,81.5,56341.29,0.7,0.84,82.65,81.852,80.89,61540.99,70772.72,81188.45,0.81,8
2020/7/30,83.99,87,84.58,82.61,72192.04,0.53,0.63,82.558,82.479,81.178,63188.7,66573.19,80539.26,1.04,7
2020/7/31,84.57,85,83,81.71,89232.13,-1.58,-1.87,83.092,82.628,81.401,66387.99,68340.24,80722.44,1.28,6
2020/8/3,83,83.35,82.35,80.2,102815.07,-0.65,-0.78,83.466,82.854,81.656,77812.93,70118.43,80450.3,1.48,5
2020/8/4,82,83.02,81.03,80.4,76651.17,-1.32,-1.6,83.002,82.78,81.726,79446.34,72341.07,79152.57,1.1,4
2020/8/5,80.12,81.69,81.11,79.26,61229.46,0.08,0.1,82.414,82.532,81.862,80423.97,70982.48,78243.96,0.88,3
2020/8/6,81.11,81.35,78.8,78.19,86453.14,-2.31,-2.85,81.258,81.908,81.902,83276.19,73232.45,78054.38,1.24,2
2020/8/7,79.2,79.49,76.95,74.51,89969.45,-1.85,-2.35,80.048,81.57,81.837,83423.66,74905.82,78624.89,1.29,1
2020/8/10,78.5,78.5,76.83,75.1,53583.3,-0.12,-0.16,78.944,81.205,81.636,73577.3,75695.12,76418.6,0.77,0
