date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,
2020/1/6,50.83,50.85,50.01,49.83,59693.99,-1.24,-2.42,50.892,50.559,50.994,48015.28,42592.23,47431.57,0.86,143
2020/1/7,50.2,50.4,50.3,49.5,40810.7,0.29,0.58,50.734,50.572,50.941,46223.97,42745.58,47509.77,0.59,142
2020/1/8,50.04,50.32,50.02,49.79,29076.07,-0.28,-0.56,50.538,50.544,50.903,44526.83,40969.94,47101.02,0.42,141
2020/1/9,50.27,51.02,50.85,50.1,57661.15,0.83,1.66,50.486,50.645,50.918,45670.83,43960.7,48171.64,0.83,140
2020/1/10,50.94,51.61,51.32,50.33,64473.69,0.47,0.92,50.5,50.74,50.897,50343.12,47835.55,48517.16,0.93,139
2020/1/13,51.62,51.62,50.95,50.7,68516.88,-0.37,-0.72,50.688,50.79,50.789,52107.7,50061.49,48636.46,0.98,138
2020/1/14,51.02,51.02,50.36,50.1,79956.6,-0.59,-1.16,50.7,50.717,50.707,59936.88,53080.43,48331.36,1.15,137
2020/1/15,50.11,50.69,50.5,49.99,42965.15,0.14,0.28,50.796,50.667,50.648,62714.69,53620.76,46299.25,0.62,136
2020/1/16,50.58,50.96,50.7,50.3,44913.5,0.2,0.4,50.766,50.626,50.622,60165.16,52918,46545.2,0.65,135
2020/1/17,50.93,51.27,51.25,50.7,50379.28,0.55,1.08,50.752,50.626,50.639,57346.28,53844.7,47109.02,0.72,134
2020/1/20,51.17,52.46,51.9,51.02,73984.51,0.65,1.27,50.942,50.815,50.687,58439.81,55273.75,48932.99,1.06,133
2020/1/21,51.93,51.93,49.8,49.35,102847.47,-2.1,-4.05,50.83,50.765,50.669,63017.98,61477.43,52111.51,1.48,132
2020/1/22,49.1,49.85,49.73,47.8,80204.83,-0.07,-0.14,50.676,50.736,50.64,70465.92,66590.31,53780.12,1.15,131
2020/1/23,48.4,49.18,48.33,47.85,64160.79,-1.4,-2.81,50.202,50.484,50.565,74315.38,67240.27,55600.49,0.92,130
2020/2/3,43.5,43.97,43.5,43.5,65808.26,-4.83,-9.99,48.652,49.702,50.221,77401.17,67373.73,57604.64,0.95,129
2020/2/4,42.7,45.37,45.05,42.5,95196.35,1.55,3.56,47.282,49.112,49.951,81643.54,70041.67,60051.58,1.37,128
2020/2/5,45.05,45.57,44.81,44.56,61697.7,-0.24,-0.53,46.284,48.557,49.637,73413.59,68215.78,60648.11,0.89,127
2020/2/6,44.82,45.2,45.08,44.2,47977.51,0.27,0.6,45.354,48.015,49.341,66968.12,68717.02,61168.89,0.69,126
2020/2/7,44.7,46.47,45.61,44.62,67521.82,0.53,1.18,44.81,47.506,49.066,67640.33,70977.85,61947.92,0.97,125
2020/2/10,45.3,45.5,45.11,44.8,64729.94,-0.5,-1.1,45.132,46.892,48.759,67424.66,72412.92,63128.81,0.93,124
2020/2/11,45.18,45.98,45.55,44.99,74872.11,0.44,0.97,45.232,46.257,48.536,63359.82,72501.68,63887.72,1.08,123
2020/2/12,45.5,46.05,45.73,45.31,45987.23,0.18,0.4,45.416,45.85,48.308,60217.72,66815.65,64146.54,0.66,122
2020/2/13,45.72,45.88,44.98,44.98,43483.42,-0.75,-1.64,45.396,45.375,48.056,59318.9,63143.51,64866.91,0.62,121
2020/2/14,44.96,45.34,45,44.82,39013.31,0.02,0.04,45.274,45.042,47.763,53617.2,60628.77,63934.52,0.56,120
2020/2/17,45,45.56,45.5,44.9,60915.17,0.5,1.11,45.352,45.242,47.472,52854.25,60139.46,63756.59,0.88,119
2020/2/18,45.48,45.6,45.5,45.03,54130.33,0,0,45.342,45.287,47.2,48705.89,56032.85,63037.26,0.78,118
2020/2/19,45.55,46.18,45.54,45.4,87233.53,0.04,0.09,45.304,45.36,46.959,56955.15,58586.44,63401.11,1.25,117
2020/2/20,45.52,47.06,46.5,45.51,132903.27,0.96,2.11,45.608,45.502,46.759,74839.12,67079.01,67898.02,1.91,116
2020/2/21,46.5,46.7,46.22,46.09,80567.3,-0.28,-0.6,45.852,45.563,46.535,83149.92,68383.56,69680.71,1.16,115
2020/2/24,46,46,45.2,45.1,102269.95,-1.02,-2.21,45.792,45.572,46.232,91420.88,72137.56,72275.24,1.47,114
2020/2/25,44.48,44.79,44.24,43.88,92455.99,-0.96,-2.12,45.54,45.441,45.849,99086.01,73895.95,73198.81,1.33,113
2020/2/26,43.86,44.79,43.02,43,129634.1,-1.22,-2.76,45.036,45.17,45.51,107566.12,82260.64,74538.15,1.86,112
2020/2/27,43.37,44.15,43.74,43.25,71860.09,0.72,1.67,44.484,45.046,45.211,95357.49,85098.3,74120.91,1.03,111
2020/2/28,43.04,43.38,42.7,42.06,143272.44,-1.04,-2.38,43.78,44.816,44.929,107898.51,95524.22,78076.49,2.06,110
2020/3/2,42.6,43.95,43.3,42.6,110009.08,0.6,1.41,43.4,44.596,44.919,109446.34,100433.61,80286.53,1.58,109
2020/3/3,43.88,43.93,43.2,43.06,90621.26,-0.1,-0.23,43.192,44.366,44.827,109079.39,104082.7,80057.78,1.3,108
2020/3/4,43.16,44.25,44.25,42.73,87267.93,1.05,2.43,43.438,44.237,44.799,100606.16,104086.14,81336.29,1.25,107
2020/3/5,44.35,46.02,45.79,44.33,152438.09,1.54,3.48,43.848,44.166,44.834,116721.76,106039.62,86559.32,2.19,106
